,Total,,Men,Women,Men,Women,,
,Number of workers,Median weekly earnings,Median weekly earnings,Median weekly earnings,Salary,Salary,,
Computer control programmers and operators,79,759,790,-,41080,,,
"Extruding and drawing machine setters, operators, and tenders, metal and plastic",13,-,-,-,,,,
"Forging machine setters, operators, and tenders, metal and plastic",5,-,-,-,,,,
"Rolling machine setters, operators, and tenders, metal and plastic",9,-,-,-,,,,
"Cutting, punching, and press machine setters, operators, and tenders, metal and plastic",83,620,663,-,34476,,,
"Drilling and boring machine tool setters, operators, and tenders, metal and plastic",2,-,-,-,,,,
"Grinding, lapping, polishing, and buffing machine tool setters, operators, and tenders, metal and plastic",45,-,-,-,,,,
"Lathe and turning machine tool setters, operators, and tenders, metal and plastic",6,-,-,-,,,,
"Milling and planing machine setters, operators, and tenders, metal and plastic",3,-,-,-,,,,
Machinists,351,764,770,-,40040,,,
"Metal furnace operators, tenders, pourers, and casters",26,-,-,-,,,,
"Model makers and patternmakers, metal and plastic",4,-,-,-,,,,
"Molders and molding machine setters, operators, and tenders, metal and plastic",34,-,-,-,,,,
"Multiple machine tool setters, operators, and tenders, metal and plastic",4,-,-,-,,,,
Tool and die makers,60,"1,020","1,025",-,53300,,,
"Welding, soldering, and brazing workers",551,723,733,-,38116,,,
"Heat treating equipment setters, operators, and tenders, metal and plastic",4,-,-,-,,,,
"Layout workers, metal and plastic",9,-,-,-,,,,
"Plating and coating machine setters, operators, and tenders, metal and plastic",24,-,-,-,,,,
"Tool grinders, filers, and sharpeners",7,-,-,-,,,,
